Log_ID,Mass
H1-F2,249.71
H1-F3,437.05
H1-F5,500.73
H1-F8,501.77
H1-M10,412.24
H1-M11,436.76
H1-M12,498.23
H1-M3,499.49
H1-M4,501.72
H1-M5,500.36
H1-M6,505.5
H1-M7,500.89
H1-M9,302.19
H2-F1,500.61
H2-F2,501.1
H2-F3,500.03
H2-M1,500.24
H2-M2,494.7
H2-M3,501.2
H2-M4,500.61
H2-M5,500.51
H2-M6,501.85
H2-M7,501.96
H2-M8,501.81
H3-F1,501.32
H3-F10,500.06
H3-F2,500.35
H3-F2d,455.49
H3-F3,439.67
H3-F4,403.36
H3-F5,500.23
H3-F6,500.9
H3-F7,501.36
H3-F8,500.08
H3-F9,500.3
TC1-F1,500.06
TC1-M1,500.23
TC1-M2,500
TC1-M3,500.06
TC1-M4,500.1
TC1-M5,500.05
TC1-M6,500.05
TC1-M8,500.05
TC1-M9,500.08
TC2-F1,500.03
TC2-F3,500
TC2-F4,500.03
TC2-F5,500.7
TC2-F7,500.17
TC2-M10,500.03
TC2-M9,501
Wi1-F1,505.95
Wi1-F10,283.06
Wi1-F11,399.66
Wi1-F2,458.64
Wi1-F3,453.99
Wi1-F4,500.06
Wi1-F5,442.15
Wi1-F6,344.81
Wi1-F7,382.68
Wi1-F8,500.06
Wi1-F9,438.56
Wi1-M1,420.69
Wi1-M2,500.07
Wi1-M3,449.65
Wi1-M4,467.98
Wi1-M5,417.05
Wi1-M6,491.97
Wi1-M7,500.02
Wi1-M8,362.77
Wi2-F1,305.11
Wi2-F2,499.49
Wi2-F3,500.06
Wi2-F4,500.02
Wi2-F5,412.21
Wi2-F6,500.09
Wi2-F7,276.99
Wi2-F8,385.05
Wi2-F9,358.1
Wi2-M1,347.56
Wi2-M10,500.04
Wi2-M11,431.68
Wi2-M12,500.01
Wi2-M2,500.03
Wi2-M3,416.84
Wi2-M4,327.48
Wi2-M5,500.07
Wi2-M6,360.44
Wi2-M7,500.02
Wi2-M8,360.44
Wi2-M9,438.94